PC 1,0.0021662488108729013
PC 2,0.0012672186991009168
PC 3,0.0006097571814303127
PC 4,0.00028491517461216653
PC 5,0.00023327306000088256
PC 6,0.0001871200181657843
PC 7,0.0001654651406093675
PC 8,0.0001271182075117529
PC 9,0.00011935907381798995
PC 10,0.00010272380783638249
PC 11,9.52229019659338e-05
PC 12,8.580711589096173e-05
PC 13,7.996815331571451e-05
PC 14,7.205391800122393e-05
PC 15,6.394941646144109e-05
PC 16,6.248874444054556e-05
PC 17,6.168603710819857e-05
PC 18,5.7206911617731966e-05
PC 19,5.203343169469148e-05
PC 20,4.982015297925553e-05
PC 21,4.514421855066983e-05
PC 22,4.073510073373843e-05
PC 23,3.829389458460188e-05
PC 24,3.606271708686281e-05
PC 25,3.265236182636764e-05
PC 26,3.168183906874532e-05
PC 27,2.6680352581150293e-05
PC 28,2.552533734295351e-05
PC 29,2.3693957713049312e-05
PC 30,2.1560452949786026e-05
PC 31,2.125122510865691e-05
PC 32,1.8713017375497737e-05
PC 33,1.626657157038718e-05
PC 34,1.6023649867801207e-05
PC 35,1.429692556119542e-05
PC 36,1.2631687332404496e-05
PC 37,1.1939373418481433e-05
PC 38,1.1506461075278993e-05
PC 39,1.0012300810785013e-05
PC 40,9.456599752123304e-06
PC 41,8.54858272828867e-06
PC 42,7.110988773539746e-06
PC 43,6.140778443911562e-06
PC 44,6.10787410207054e-06
PC 45,4.9035603919220165e-06
PC 46,4.753837737169369e-06
PC 47,4.379164716409381e-06
PC 48,3.970543884617269e-06
PC 49,3.717269408020128e-06
PC 50,3.2579835460209634e-06
PC 51,5.431614421357274e-19
